Hole number,FDUP,ORG,TiO2 dup,TiO2 org,P dup,P org,V dup,V org
NM21105,D060925,D060924,2.44,2.67,0.112,0.141,0.014,0.016
NM21105,D060945,D060944,2.47,2.38,0.411,0.398,0.018,0.017
NM21105,D060965,D060964,3.3,3.13,0.558,0.518,0.024,0.023
NM21105,D060985,D060984,4.96,4.82,1.19,1.14,0.039,0.037
NM21105,D061005,D061004,2.7,2.84,0.214,0.198,0.016,0.021
NM21105,D061025,D061024,20.8,21,0.024,0.021,0.179,0.184
NM21105,D061045,D061044,18.35,18.65,0.018,0.017,0.148,0.152
NM21105,D061065,D061064,20.2,21.5,0.006,0.005,0.167,0.176
NM21105,D061085,D061084,15.35,13.55,0.044,0.053,0.104,0.094
NM21105,D061105,D061104,3.23,3.14,0.156,0.164,0.015,0.015
NM21105,D061125,D061124,1.61,1.45,0.15,0.174,0.018,0.017
NM21104,D062355,D062354,4.89,4.98,0.041,0.041,0.038,0.04
NM21104,D062375,D062374,4.5,4.6,0.045,0.045,0.036,0.037
NM21104,D062395,D062394,5.81,5.74,0.033,0.032,0.045,0.047
NM21104,D062415,D062414,4.02,3.89,0.049,0.049,0.028,0.026
NM21104,D062435,D062434,4.33,4.42,0.024,0.023,0.035,0.034
NM21104,D062455,D062454,4.07,4.33,0.03,0.029,0.033,0.034
NM21104,D062475,D062474,4.37,4.34,0.031,0.029,0.03,0.029
NM21104,D062495,D062494,2.87,2.87,0.016,0.016,0.025,0.026
NM21104,D062516,D062515,5.66,5.94,0.025,0.025,0.045,0.045
NM21104,D062535,D062534,5.04,4.99,0.038,0.036,0.042,0.042
NM21104,D062555,D062554,6.7,6.75,0.031,0.03,0.049,0.05
NM21104,D062576,D062575,5.31,5.21,0.027,0.029,0.045,0.042
NM21104,D062595,D062594,5.51,5.51,0.028,0.028,0.048,0.049
NM21104,D062615,D062614,5.78,5.65,0.021,0.022,0.049,0.049
NM21104,D062635,D062634,5.02,5.02,0.027,0.027,0.036,0.036
NM21104,D062655,D062654,3.04,3.13,0.03,0.025,0.023,0.023
NM21104,D062675,D062674,5.03,4.92,0.013,0.013,0.041,0.04
NM21104,D062695,D062694,6.75,6.44,1.82,1.82,0.071,0.069
NM21104,D062715,D062714,6.89,6.93,2.17,2.17,0.069,0.069
NM21104,D062735,D062734,7.29,7.31,1.835,1.85,0.074,0.076
NM21104,D062755,D062754,6.62,6.54,1.865,1.815,0.056,0.055
NM21104,D062775,D062774,5.08,5.14,1.865,1.905,0.049,0.05
NM21104,D062794,D062793,5.62,5.66,1.705,1.705,0.058,0.057
NM21104,D062815,D062814,7.09,7.03,1.83,1.82,0.073,0.074
NM21104,D062835,D062834,6.83,6.78,1.91,1.915,0.071,0.071
NM21104,D062855,D062854,6.4,6.38,1.95,1.965,0.064,0.064
NM21104,D062875,D062874,6.48,6.5,1.96,1.955,0.066,0.066
NM21104,D062895,D062894,6.86,6.81,1.73,1.74,0.071,0.071
NM21104,D062915,D062914,4.82,4.6,1.575,1.54,0.049,0.047
